Comunidades y Ciudades Autónomas;Periodo;Total
04 Balears, Illes;1950M01;461
04 Balears, Illes;1949M12;422
04 Balears, Illes;1949M11;399
04 Balears, Illes;1949M10;315
04 Balears, Illes;1949M09;342
04 Balears, Illes;1949M08;316
04 Balears, Illes;1949M07;328
04 Balears, Illes;1949M06;306
04 Balears, Illes;1949M05;354
04 Balears, Illes;1949M04;383
04 Balears, Illes;1949M03;502
04 Balears, Illes;1949M02;425
04 Balears, Illes;1949M01;489
04 Balears, Illes;1948M12;403
04 Balears, Illes;1948M11;353
04 Balears, Illes;1948M10;272
04 Balears, Illes;1948M09;255
04 Balears, Illes;1948M08;291
04 Balears, Illes;1948M07;316
04 Balears, Illes;1948M06;315
04 Balears, Illes;1948M05;359
04 Balears, Illes;1948M04;370
04 Balears, Illes;1948M03;465
04 Balears, Illes;1948M02;423
04 Balears, Illes;1948M01;461
04 Balears, Illes;1947M12;428
04 Balears, Illes;1947M11;322
04 Balears, Illes;1947M10;334
04 Balears, Illes;1947M09;303
04 Balears, Illes;1947M08;309
04 Balears, Illes;1947M07;313
04 Balears, Illes;1947M06;313
04 Balears, Illes;1947M05;328
04 Balears, Illes;1947M04;403
04 Balears, Illes;1947M03;442
04 Balears, Illes;1947M02;547
04 Balears, Illes;1947M01;605
04 Balears, Illes;1946M12;492
04 Balears, Illes;1946M11;371
04 Balears, Illes;1946M10;375
04 Balears, Illes;1946M09;306
04 Balears, Illes;1946M08;346
04 Balears, Illes;1946M07;349
04 Balears, Illes;1946M06;337
04 Balears, Illes;1946M05;352
04 Balears, Illes;1946M04;343
04 Balears, Illes;1946M03;436
04 Balears, Illes;1946M02;379
04 Balears, Illes;1946M01;466
04 Balears, Illes;1945M12;420
04 Balears, Illes;1945M11;364
04 Balears, Illes;1945M10;365
04 Balears, Illes;1945M09;321
04 Balears, Illes;1945M08;332
04 Balears, Illes;1945M07;347
04 Balears, Illes;1945M06;344
04 Balears, Illes;1945M05;356
04 Balears, Illes;1945M04;385
04 Balears, Illes;1945M03;438
04 Balears, Illes;1945M02;410
04 Balears, Illes;1945M01;628
04 Balears, Illes;1944M12;396
04 Balears, Illes;1944M11;362
04 Balears, Illes;1944M10;397
04 Balears, Illes;1944M09;362
04 Balears, Illes;1944M08;378
04 Balears, Illes;1944M07;373
04 Balears, Illes;1944M06;358
04 Balears, Illes;1944M05;356
04 Balears, Illes;1944M04;348
04 Balears, Illes;1944M03;475
04 Balears, Illes;1944M02;471
04 Balears, Illes;1944M01;628
04 Balears, Illes;1943M12;454
04 Balears, Illes;1943M11;406
04 Balears, Illes;1943M10;389
04 Balears, Illes;1943M09;346
04 Balears, Illes;1943M08;333
04 Balears, Illes;1943M07;363
04 Balears, Illes;1943M06;343
04 Balears, Illes;1943M05;360
04 Balears, Illes;1943M04;408
04 Balears, Illes;1943M03;434
04 Balears, Illes;1943M02;358
04 Balears, Illes;1943M01;485
04 Balears, Illes;1942M12;436
04 Balears, Illes;1942M11;374
04 Balears, Illes;1942M10;384
04 Balears, Illes;1942M09;384
04 Balears, Illes;1942M08;396
04 Balears, Illes;1942M07;427
04 Balears, Illes;1942M06;340
04 Balears, Illes;1942M05;394
04 Balears, Illes;1942M04;406
04 Balears, Illes;1942M03;639
04 Balears, Illes;1942M02;550
04 Balears, Illes;1942M01;602
04 Balears, Illes;1941M12;455
04 Balears, Illes;1941M11;491
04 Balears, Illes;1941M10;413
04 Balears, Illes;1941M09;395
04 Balears, Illes;1941M08;441
04 Balears, Illes;1941M07;438
04 Balears, Illes;1941M06;393
04 Balears, Illes;1941M05;440
04 Balears, Illes;1941M04;451
04 Balears, Illes;1941M03;506
04 Balears, Illes;1941M02;472
04 Balears, Illes;1941M01;630
05 Canarias;1974M12;778
05 Canarias;1974M11;636
05 Canarias;1974M10;649
05 Canarias;1974M09;610
05 Canarias;1974M08;689
05 Canarias;1974M07;716
05 Canarias;1974M06;616
05 Canarias;1974M05;661
05 Canarias;1974M04;781
05 Canarias;1974M03;773
05 Canarias;1974M02;663
05 Canarias;1974M01;691
05 Canarias;1973M12;763
05 Canarias;1973M11;603
05 Canarias;1973M10;617
05 Canarias;1973M09;650
05 Canarias;1973M08;603
05 Canarias;1973M07;613
05 Canarias;1973M06;632
05 Canarias;1973M05;601
05 Canarias;1973M04;646
05 Canarias;1973M03;743
05 Canarias;1973M02;775
05 Canarias;1973M01;821
05 Canarias;1972M12;748
05 Canarias;1972M11;613
05 Canarias;1972M10;590
05 Canarias;1972M09;540
05 Canarias;1972M08;593
05 Canarias;1972M07;612
05 Canarias;1972M06;622
05 Canarias;1972M05;687
05 Canarias;1972M04;679
05 Canarias;1972M03;782
05 Canarias;1972M02;795
05 Canarias;1972M01;816
05 Canarias;1971M12;720
05 Canarias;1971M11;628
05 Canarias;1971M10;661
05 Canarias;1971M09;634
05 Canarias;1971M08;604
05 Canarias;1971M07;698
05 Canarias;1971M06;773
05 Canarias;1971M05;709
05 Canarias;1971M04;779
05 Canarias;1971M03;742
05 Canarias;1971M02;743
05 Canarias;1971M01;736
05 Canarias;1970M12;675
05 Canarias;1970M11;637
05 Canarias;1970M10;602
05 Canarias;1970M09;594
05 Canarias;1970M08;587
05 Canarias;1970M07;648
05 Canarias;1970M06;583
05 Canarias;1970M05;640
05 Canarias;1970M04;602
05 Canarias;1970M03;741
05 Canarias;1970M02;647
05 Canarias;1970M01;784
05 Canarias;1969M12;709
05 Canarias;1969M11;656
05 Canarias;1969M10;635
05 Canarias;1969M09;551
05 Canarias;1969M08;579
05 Canarias;1969M07;651
05 Canarias;1969M06;564
05 Canarias;1969M05;565
05 Canarias;1969M04;664
05 Canarias;1969M03;648
05 Canarias;1969M02;602
05 Canarias;1969M01;630
05 Canarias;1968M12;670
05 Canarias;1968M11;576
05 Canarias;1968M10;531
05 Canarias;1968M09;577
05 Canarias;1968M08;526
05 Canarias;1968M07;600
05 Canarias;1968M06;534
05 Canarias;1968M05;580
05 Canarias;1968M04;651
05 Canarias;1968M03;705
05 Canarias;1968M02;673
05 Canarias;1968M01;718
05 Canarias;1967M12;661
05 Canarias;1967M11;596
05 Canarias;1967M10;536
05 Canarias;1967M09;522
05 Canarias;1967M08;556
05 Canarias;1967M07;601
05 Canarias;1967M06;516
05 Canarias;1967M05;608
05 Canarias;1967M04;553
05 Canarias;1967M03;597
05 Canarias;1967M02;688
05 Canarias;1967M01;718
05 Canarias;1966M12;655
05 Canarias;1966M11;582
05 Canarias;1966M10;514
05 Canarias;1966M09;492
05 Canarias;1966M08;660
05 Canarias;1966M07;548
05 Canarias;1966M06;531
05 Canarias;1966M05;579
05 Canarias;1966M04;563
05 Canarias;1966M03;633
05 Canarias;1966M02;560
05 Canarias;1966M01;743
05 Canarias;1965M12;642
05 Canarias;1965M11;561
05 Canarias;1965M10;605
05 Canarias;1965M09;525
05 Canarias;1965M08;562
05 Canarias;1965M07;537
05 Canarias;1965M06;539
05 Canarias;1965M05;609
05 Canarias;1965M04;553
05 Canarias;1965M03;687
05 Canarias;1965M02;610
05 Canarias;1965M01;692
05 Canarias;1964M12;702
05 Canarias;1964M11;587
05 Canarias;1964M10;582
05 Canarias;1964M09;528
05 Canarias;1964M08;525
05 Canarias;1964M07;566
05 Canarias;1964M06;496
05 Canarias;1964M05;537
05 Canarias;1964M04;558
05 Canarias;1964M03;560
05 Canarias;1964M02;588
05 Canarias;1964M01;601
05 Canarias;1963M12;622
05 Canarias;1963M11;495
05 Canarias;1963M10;536
05 Canarias;1963M09;485
05 Canarias;1963M08;504
05 Canarias;1963M07;492
05 Canarias;1963M06;523
05 Canarias;1963M05;619
05 Canarias;1963M04;616
05 Canarias;1963M03;650
05 Canarias;1963M02;612
05 Canarias;1963M01;624
05 Canarias;1962M12;583
05 Canarias;1962M11;519
05 Canarias;1962M10;576
05 Canarias;1962M09;531
05 Canarias;1962M08;600
05 Canarias;1962M07;538
05 Canarias;1962M06;467
05 Canarias;1962M05;515
05 Canarias;1962M04;555
05 Canarias;1962M03;617
05 Canarias;1962M02;567
05 Canarias;1962M01;623
05 Canarias;1961M12;546
05 Canarias;1961M11;533
05 Canarias;1961M10;573
05 Canarias;1961M09;540
05 Canarias;1961M08;562
05 Canarias;1961M07;553
05 Canarias;1961M06;470
05 Canarias;1961M05;531
05 Canarias;1961M04;567
05 Canarias;1961M03;642
05 Canarias;1961M02;576
05 Canarias;1961M01;679
05 Canarias;1960M12;742
05 Canarias;1960M11;514
05 Canarias;1960M10;542
05 Canarias;1960M09;479
05 Canarias;1960M08;498
05 Canarias;1960M07;550
05 Canarias;1960M06;449
05 Canarias;1960M05;543
05 Canarias;1960M04;494
05 Canarias;1960M03;591
05 Canarias;1960M02;541
05 Canarias;1960M01;613
05 Canarias;1959M12;615
05 Canarias;1959M11;571
05 Canarias;1959M10;563
05 Canarias;1959M09;515
05 Canarias;1959M08;527
05 Canarias;1959M07;523
05 Canarias;1959M06;488
05 Canarias;1959M05;540
05 Canarias;1959M04;582
05 Canarias;1959M03;600
05 Canarias;1959M02;530
05 Canarias;1959M01;606
05 Canarias;1958M12;638
05 Canarias;1958M11;530
05 Canarias;1958M10;523
05 Canarias;1958M09;518
05 Canarias;1958M08;479
05 Canarias;1958M07;520
05 Canarias;1958M06;516
05 Canarias;1958M05;488
05 Canarias;1958M04;500
05 Canarias;1958M03;571
05 Canarias;1958M02;587
05 Canarias;1958M01;694
05 Canarias;1957M12;663
05 Canarias;1957M11;618
05 Canarias;1957M10;801
05 Canarias;1957M09;621
05 Canarias;1957M08;520
05 Canarias;1957M07;549
05 Canarias;1957M06;497
05 Canarias;1957M05;498
05 Canarias;1957M04;519
05 Canarias;1957M03;558
05 Canarias;1957M02;553
05 Canarias;1957M01;671
05 Canarias;1956M12;564
05 Canarias;1956M11;532
05 Canarias;1956M10;539
05 Canarias;1956M09;469
05 Canarias;1956M08;521
05 Canarias;1956M07;514
05 Canarias;1956M06;507
05 Canarias;1956M05;511
05 Canarias;1956M04;568
05 Canarias;1956M03;657
05 Canarias;1956M02;615
05 Canarias;1956M01;615
05 Canarias;1955M12;618
05 Canarias;1955M11;532
05 Canarias;1955M10;555
05 Canarias;1955M09;497
05 Canarias;1955M08;551
05 Canarias;1955M07;497
05 Canarias;1955M06;498
05 Canarias;1955M05;484
05 Canarias;1955M04;532
05 Canarias;1955M03;602
05 Canarias;1955M02;493
05 Canarias;1955M01;586
05 Canarias;1954M12;609
05 Canarias;1954M11;522
05 Canarias;1954M10;527
05 Canarias;1954M09;495
05 Canarias;1954M08;518
05 Canarias;1954M07;486
05 Canarias;1954M06;470
05 Canarias;1954M05;519
05 Canarias;1954M04;523
05 Canarias;1954M03;591
05 Canarias;1954M02;540
05 Canarias;1954M01;580
05 Canarias;1953M12;653
05 Canarias;1953M11;511
05 Canarias;1953M10;549
05 Canarias;1953M09;498
05 Canarias;1953M08;475
05 Canarias;1953M07;565
05 Canarias;1953M06;492
05 Canarias;1953M05;544
05 Canarias;1953M04;544
05 Canarias;1953M03;603
05 Canarias;1953M02;523
05 Canarias;1953M01;650
05 Canarias;1952M12;551
05 Canarias;1952M11;558
05 Canarias;1952M10;528
05 Canarias;1952M09;479
05 Canarias;1952M08;505
05 Canarias;1952M07;612
05 Canarias;1952M06;506
05 Canarias;1952M05;560
05 Canarias;1952M04;619
05 Canarias;1952M03;601
05 Canarias;1952M02;577
05 Canarias;1952M01;714
05 Canarias;1951M12;602
05 Canarias;1951M11;619
05 Canarias;1951M10;605
05 Canarias;1951M09;551
05 Canarias;1951M08;611
05 Canarias;1951M07;563
05 Canarias;1951M06;536
05 Canarias;1951M05;553
05 Canarias;1951M04;582
05 Canarias;1951M03;637
05 Canarias;1951M02;611
05 Canarias;1951M01;758
05 Canarias;1950M12;744
05 Canarias;1950M11;636
05 Canarias;1950M10;568
05 Canarias;1950M09;537
05 Canarias;1950M08;548
05 Canarias;1950M07;612
05 Canarias;1950M06;514
05 Canarias;1950M05;526
05 Canarias;1950M04;521
05 Canarias;1950M03;623
05 Canarias;1950M02;569
05 Canarias;1950M01;651
05 Canarias;1949M12;621
05 Canarias;1949M11;606
05 Canarias;1949M10;655
05 Canarias;1949M09;583
05 Canarias;1949M08;613
05 Canarias;1949M07;641
05 Canarias;1949M06;541
05 Canarias;1949M05;601
05 Canarias;1949M04;624
05 Canarias;1949M03;670
05 Canarias;1949M02;608
05 Canarias;1949M01;765
05 Canarias;1948M12;767
05 Canarias;1948M11;685
05 Canarias;1948M10;666
05 Canarias;1948M09;578
05 Canarias;1948M08;620
05 Canarias;1948M07;637
05 Canarias;1948M06;596
05 Canarias;1948M05;636
05 Canarias;1948M04;635
05 Canarias;1948M03;775
05 Canarias;1948M02;725
05 Canarias;1948M01;691
05 Canarias;1947M12;681
05 Canarias;1947M11;607
05 Canarias;1947M10;588
05 Canarias;1947M09;577
05 Canarias;1947M08;598
05 Canarias;1947M07;645
05 Canarias;1947M06;585
05 Canarias;1947M05;649
05 Canarias;1947M04;671
05 Canarias;1947M03;763
05 Canarias;1947M02;717
05 Canarias;1947M01;841
05 Canarias;1946M12;800
05 Canarias;1946M11;744
05 Canarias;1946M10;782
05 Canarias;1946M09;699
05 Canarias;1946M08;675
05 Canarias;1946M07;676
05 Canarias;1946M06;629
05 Canarias;1946M05;715
05 Canarias;1946M04;666
05 Canarias;1946M03;709
05 Canarias;1946M02;657
05 Canarias;1946M01;840
05 Canarias;1945M12;883
05 Canarias;1945M11;795
05 Canarias;1945M10;744
05 Canarias;1945M09;658
05 Canarias;1945M08;692
05 Canarias;1945M07;658
05 Canarias;1945M06;686
05 Canarias;1945M05;735
05 Canarias;1945M04;711
05 Canarias;1945M03;672
05 Canarias;1945M02;575
05 Canarias;1945M01;722
05 Canarias;1944M12;645
05 Canarias;1944M11;651
05 Canarias;1944M10;640
05 Canarias;1944M09;614
05 Canarias;1944M08;615
05 Canarias;1944M07;665
05 Canarias;1944M06;611
05 Canarias;1944M05;743
05 Canarias;1944M04;687
05 Canarias;1944M03;697
05 Canarias;1944M02;757
05 Canarias;1944M01;949
05 Canarias;1943M12;836
05 Canarias;1943M11;753
05 Canarias;1943M10;721
05 Canarias;1943M09;716
05 Canarias;1943M08;764
05 Canarias;1943M07;788
05 Canarias;1943M06;701
05 Canarias;1943M05;768
05 Canarias;1943M04;704
05 Canarias;1943M03;742
05 Canarias;1943M02;803
05 Canarias;1943M01;904
05 Canarias;1942M12;768
05 Canarias;1942M11;811
05 Canarias;1942M10;730
05 Canarias;1942M09;718
05 Canarias;1942M08;707
05 Canarias;1942M07;708
05 Canarias;1942M06;691
05 Canarias;1942M05;724
05 Canarias;1942M04;740
05 Canarias;1942M03;721
05 Canarias;1942M02;733
05 Canarias;1942M01;838
05 Canarias;1941M12;930
05 Canarias;1941M11;888
05 Canarias;1941M10;835
05 Canarias;1941M09;762
05 Canarias;1941M08;775
05 Canarias;1941M07;805
05 Canarias;1941M06;640
05 Canarias;1941M05;741
05 Canarias;1941M04;757
05 Canarias;1941M03;834
05 Canarias;1941M02;722
05 Canarias;1941M01;839
06 Cantabria;1974M12;467
06 Cantabria;1974M11;338
06 Cantabria;1974M10;307
06 Cantabria;1974M09;256
06 Cantabria;1974M08;306
06 Cantabria;1974M07;311
06 Cantabria;1974M06;310
06 Cantabria;1974M05;301
06 Cantabria;1974M04;334
06 Cantabria;1974M03;371
06 Cantabria;1974M02;374
06 Cantabria;1974M01;399
06 Cantabria;1973M12;396
06 Cantabria;1973M11;370
06 Cantabria;1973M10;331
06 Cantabria;1973M09;296
06 Cantabria;1973M08;331
06 Cantabria;1973M07;309
06 Cantabria;1973M06;277
06 Cantabria;1973M05;329
06 Cantabria;1973M04;364
06 Cantabria;1973M03;402
06 Cantabria;1973M02;359
06 Cantabria;1973M01;651
06 Cantabria;1972M12;377
06 Cantabria;1972M11;350
06 Cantabria;1972M10;298
06 Cantabria;1972M09;288
06 Cantabria;1972M08;316
06 Cantabria;1972M07;329
06 Cantabria;1972M06;351
06 Cantabria;1972M05;313
06 Cantabria;1972M04;310
06 Cantabria;1972M03;378
06 Cantabria;1972M02;378
06 Cantabria;1972M01;388
06 Cantabria;1971M12;451
06 Cantabria;1971M11;453
06 Cantabria;1971M10;341
06 Cantabria;1971M09;301
06 Cantabria;1971M08;347
06 Cantabria;1971M07;323
06 Cantabria;1971M06;338
06 Cantabria;1971M05;322
06 Cantabria;1971M04;346
06 Cantabria;1971M03;385
06 Cantabria;1971M02;348
06 Cantabria;1971M01;485
06 Cantabria;1970M12;365
06 Cantabria;1970M11;321
06 Cantabria;1970M10;324
06 Cantabria;1970M09;304
06 Cantabria;1970M08;288
06 Cantabria;1970M07;303
06 Cantabria;1970M06;278
06 Cantabria;1970M05;327
06 Cantabria;1970M04;352
06 Cantabria;1970M03;390
06 Cantabria;1970M02;345
06 Cantabria;1970M01;407
06 Cantabria;1969M12;422
06 Cantabria;1969M11;380
06 Cantabria;1969M10;400
06 Cantabria;1969M09;307
06 Cantabria;1969M08;282
06 Cantabria;1969M07;330
06 Cantabria;1969M06;281
06 Cantabria;1969M05;317
06 Cantabria;1969M04;334
06 Cantabria;1969M03;382
06 Cantabria;1969M02;371
06 Cantabria;1969M01;402
06 Cantabria;1968M12;347
06 Cantabria;1968M11;296
06 Cantabria;1968M10;294
06 Cantabria;1968M09;271
06 Cantabria;1968M08;315
06 Cantabria;1968M07;286
06 Cantabria;1968M06;263
06 Cantabria;1968M05;225
06 Cantabria;1968M04;360
06 Cantabria;1968M03;477
06 Cantabria;1968M02;412
06 Cantabria;1968M01;371
06 Cantabria;1967M12;386
06 Cantabria;1967M11;332
06 Cantabria;1967M10;283
06 Cantabria;1967M09;287
06 Cantabria;1967M08;309
06 Cantabria;1967M07;247
06 Cantabria;1967M06;328
06 Cantabria;1967M05;353
06 Cantabria;1967M04;366
06 Cantabria;1967M03;364
06 Cantabria;1967M02;388
06 Cantabria;1967M01;405
06 Cantabria;1966M12;361
06 Cantabria;1966M11;349
06 Cantabria;1966M10;315
06 Cantabria;1966M09;301
06 Cantabria;1966M08;324
06 Cantabria;1966M07;287
06 Cantabria;1966M06;243
06 Cantabria;1966M05;304
06 Cantabria;1966M04;337
06 Cantabria;1966M03;338
06 Cantabria;1966M02;317
06 Cantabria;1966M01;406
06 Cantabria;1965M12;357
06 Cantabria;1965M11;283
06 Cantabria;1965M10;305
06 Cantabria;1965M09;290
06 Cantabria;1965M08;266
06 Cantabria;1965M07;234
06 Cantabria;1965M06;256
06 Cantabria;1965M05;280
06 Cantabria;1965M04;294
06 Cantabria;1965M03;403
06 Cantabria;1965M02;333
06 Cantabria;1965M01;370
06 Cantabria;1964M12;356
06 Cantabria;1964M11;347
06 Cantabria;1964M10;263
06 Cantabria;1964M09;253
06 Cantabria;1964M08;258
06 Cantabria;1964M07;302
06 Cantabria;1964M06;276
06 Cantabria;1964M05;272
06 Cantabria;1964M04;357
06 Cantabria;1964M03;351
06 Cantabria;1964M02;340
06 Cantabria;1964M01;423
06 Cantabria;1963M12;361
06 Cantabria;1963M11;287
06 Cantabria;1963M10;264
06 Cantabria;1963M09;249
06 Cantabria;1963M08;252
06 Cantabria;1963M07;253
06 Cantabria;1963M06;275
06 Cantabria;1963M05;282
06 Cantabria;1963M04;323
06 Cantabria;1963M03;389
06 Cantabria;1963M02;414
06 Cantabria;1963M01;388
06 Cantabria;1962M12;438
06 Cantabria;1962M11;306
06 Cantabria;1962M10;266
06 Cantabria;1962M09;265
06 Cantabria;1962M08;230
06 Cantabria;1962M07;248
06 Cantabria;1962M06;275
06 Cantabria;1962M05;268
06 Cantabria;1962M04;334
06 Cantabria;1962M03;374
06 Cantabria;1962M02;369
06 Cantabria;1962M01;446
06 Cantabria;1961M12;394
06 Cantabria;1961M11;282
06 Cantabria;1961M10;301
06 Cantabria;1961M09;255
06 Cantabria;1961M08;294
06 Cantabria;1961M07;242
06 Cantabria;1961M06;267
06 Cantabria;1961M05;302
06 Cantabria;1961M04;324
06 Cantabria;1961M03;320
06 Cantabria;1961M02;316
06 Cantabria;1961M01;357
06 Cantabria;1960M12;403
06 Cantabria;1960M11;314
06 Cantabria;1960M10;309
06 Cantabria;1960M09;239
06 Cantabria;1960M08;286
06 Cantabria;1960M07;252
06 Cantabria;1960M06;243
06 Cantabria;1960M05;282
06 Cantabria;1960M04;317
06 Cantabria;1960M03;345
06 Cantabria;1960M02;424
06 Cantabria;1960M01;357
06 Cantabria;1959M12;354
06 Cantabria;1959M11;293
06 Cantabria;1959M10;296
06 Cantabria;1959M09;257
06 Cantabria;1959M08;304
06 Cantabria;1959M07;245
06 Cantabria;1959M06;289
06 Cantabria;1959M05;294
06 Cantabria;1959M04;308
06 Cantabria;1959M03;318
06 Cantabria;1959M02;308
06 Cantabria;1959M01;344
06 Cantabria;1958M12;334
06 Cantabria;1958M11;282
06 Cantabria;1958M10;284
06 Cantabria;1958M09;252
06 Cantabria;1958M08;270
06 Cantabria;1958M07;256
06 Cantabria;1958M06;253
06 Cantabria;1958M05;297
06 Cantabria;1958M04;295
06 Cantabria;1958M03;345
06 Cantabria;1958M02;291
06 Cantabria;1958M01;372
06 Cantabria;1957M12;411
06 Cantabria;1957M11;471
06 Cantabria;1957M10;447
06 Cantabria;1957M09;298
06 Cantabria;1957M08;282
06 Cantabria;1957M07;266
06 Cantabria;1957M06;272
06 Cantabria;1957M05;267
06 Cantabria;1957M04;293
06 Cantabria;1957M03;301
06 Cantabria;1957M02;363
06 Cantabria;1957M01;368
06 Cantabria;1956M12;338
06 Cantabria;1956M11;302
06 Cantabria;1956M10;263
06 Cantabria;1956M09;241
06 Cantabria;1956M08;235
06 Cantabria;1956M07;271
06 Cantabria;1956M06;267
06 Cantabria;1956M05;337
06 Cantabria;1956M04;326
06 Cantabria;1956M03;460
06 Cantabria;1956M02;426
06 Cantabria;1956M01;317
06 Cantabria;1955M12;362
06 Cantabria;1955M11;323
06 Cantabria;1955M10;281
06 Cantabria;1955M09;304
06 Cantabria;1955M08;324
06 Cantabria;1955M07;265
06 Cantabria;1955M06;291
06 Cantabria;1955M05;269
06 Cantabria;1955M04;348
06 Cantabria;1955M03;461
06 Cantabria;1955M02;321
06 Cantabria;1955M01;419
06 Cantabria;1954M12;340
06 Cantabria;1954M11;275
06 Cantabria;1954M10;252
06 Cantabria;1954M09;267
06 Cantabria;1954M08;276
06 Cantabria;1954M07;283
06 Cantabria;1954M06;304
06 Cantabria;1954M05;286
06 Cantabria;1954M04;313
06 Cantabria;1954M03;281
06 Cantabria;1954M02;371
06 Cantabria;1954M01;360
06 Cantabria;1953M12;302
06 Cantabria;1953M11;312
06 Cantabria;1953M10;286
06 Cantabria;1953M09;255
06 Cantabria;1953M08;265
06 Cantabria;1953M07;229
06 Cantabria;1953M06;255
06 Cantabria;1953M05;256
06 Cantabria;1953M04;336
06 Cantabria;1953M03;435
06 Cantabria;1953M02;444
06 Cantabria;1953M01;385
06 Cantabria;1952M12;304
06 Cantabria;1952M11;290
06 Cantabria;1952M10;273
06 Cantabria;1952M09;256
06 Cantabria;1952M08;261
06 Cantabria;1952M07;253
06 Cantabria;1952M06;251
06 Cantabria;1952M05;300
06 Cantabria;1952M04;322
06 Cantabria;1952M03;368
06 Cantabria;1952M02;347
06 Cantabria;1952M01;392
06 Cantabria;1951M12;311
06 Cantabria;1951M11;319
06 Cantabria;1951M10;282
06 Cantabria;1951M09;274
06 Cantabria;1951M08;271
06 Cantabria;1951M07;307
06 Cantabria;1951M06;259
06 Cantabria;1951M05;334
06 Cantabria;1951M04;370
06 Cantabria;1951M03;439
06 Cantabria;1951M02;387
06 Cantabria;1951M01;889
06 Cantabria;1950M12;447
06 Cantabria;1950M11;328
06 Cantabria;1950M10;328
06 Cantabria;1950M09;319
06 Cantabria;1950M08;357
06 Cantabria;1950M07;319
06 Cantabria;1950M06;332
06 Cantabria;1950M05;352
06 Cantabria;1950M04;348
06 Cantabria;1950M03;352
06 Cantabria;1950M02;353
06 Cantabria;1950M01;436
06 Cantabria;1949M12;395
06 Cantabria;1949M11;348
06 Cantabria;1949M10;308
06 Cantabria;1949M09;290
06 Cantabria;1949M08;296
06 Cantabria;1949M07;290
06 Cantabria;1949M06;314
06 Cantabria;1949M05;330
06 Cantabria;1949M04;354
06 Cantabria;1949M03;357
06 Cantabria;1949M02;388
06 Cantabria;1949M01;452
06 Cantabria;1948M12;348
06 Cantabria;1948M11;380
06 Cantabria;1948M10;360
06 Cantabria;1948M09;336
06 Cantabria;1948M08;306
06 Cantabria;1948M07;342
06 Cantabria;1948M06;322
06 Cantabria;1948M05;382
06 Cantabria;1948M04;319
06 Cantabria;1948M03;425
06 Cantabria;1948M02;442
06 Cantabria;1948M01;381
06 Cantabria;1947M12;410
06 Cantabria;1947M11;307
06 Cantabria;1947M10;323
06 Cantabria;1947M09;341
06 Cantabria;1947M08;319
06 Cantabria;1947M07;318
06 Cantabria;1947M06;319
06 Cantabria;1947M05;365
06 Cantabria;1947M04;409
06 Cantabria;1947M03;449
06 Cantabria;1947M02;421
06 Cantabria;1947M01;470
06 Cantabria;1946M12;495
06 Cantabria;1946M11;389
06 Cantabria;1946M10;372
06 Cantabria;1946M09;328
06 Cantabria;1946M08;335
06 Cantabria;1946M07;343
06 Cantabria;1946M06;314
06 Cantabria;1946M05;416
06 Cantabria;1946M04;373
06 Cantabria;1946M03;439
06 Cantabria;1946M02;395
06 Cantabria;1946M01;505
06 Cantabria;1945M12;403
06 Cantabria;1945M11;383
06 Cantabria;1945M10;378
06 Cantabria;1945M09;318
06 Cantabria;1945M08;343
06 Cantabria;1945M07;337
06 Cantabria;1945M06;318
06 Cantabria;1945M05;389
06 Cantabria;1945M04;391
06 Cantabria;1945M03;447
06 Cantabria;1945M02;394
06 Cantabria;1945M01;536
06 Cantabria;1944M12;389
06 Cantabria;1944M11;365
06 Cantabria;1944M10;395
06 Cantabria;1944M09;352
06 Cantabria;1944M08;307
06 Cantabria;1944M07;335
06 Cantabria;1944M06;318
06 Cantabria;1944M05;388
06 Cantabria;1944M04;417
06 Cantabria;1944M03;490
06 Cantabria;1944M02;500
06 Cantabria;1944M01;665
06 Cantabria;1943M12;649
06 Cantabria;1943M11;443
06 Cantabria;1943M10;387
06 Cantabria;1943M09;369
06 Cantabria;1943M08;392
06 Cantabria;1943M07;369
06 Cantabria;1943M06;350
06 Cantabria;1943M05;368
06 Cantabria;1943M04;393
06 Cantabria;1943M03;468
06 Cantabria;1943M02;396
06 Cantabria;1943M01;409
06 Cantabria;1942M12;472
06 Cantabria;1942M11;398
06 Cantabria;1942M10;401
06 Cantabria;1942M09;367
06 Cantabria;1942M08;374
06 Cantabria;1942M07;353
06 Cantabria;1942M06;324
06 Cantabria;1942M05;393
06 Cantabria;1942M04;459
06 Cantabria;1942M03;572
06 Cantabria;1942M02;552
06 Cantabria;1942M01;630
06 Cantabria;1941M12;563
06 Cantabria;1941M11;545
06 Cantabria;1941M10;515
06 Cantabria;1941M09;421
06 Cantabria;1941M08;431
06 Cantabria;1941M07;415
06 Cantabria;1941M06;446
06 Cantabria;1941M05;489
06 Cantabria;1941M04;568
06 Cantabria;1941M03;532
06 Cantabria;1941M02;494
06 Cantabria;1941M01;601
07 Castilla y León;1974M12;3081
07 Castilla y León;1974M11;1876
07 Castilla y León;1974M10;1843
07 Castilla y León;1974M09;1548
07 Castilla y León;1974M08;166
07 Castilla y León;1974M07;1719
07 Castilla y León;1974M06;1519
07 Castilla y León;1974M05;1884
07 Castilla y León;1974M04;1859
07 Castilla y León;1974M03;2024
07 Castilla y León;1974M02;2064
07 Castilla y León;1974M01;238
07 Castilla y León;1973M12;2186
07 Castilla y León;1973M11;1783
07 Castilla y León;1973M10;181
07 Castilla y León;1973M09;1618
07 Castilla y León;1973M08;1826
